"PSTATABB
State abbreviation","PNAME
Plant name","OPRNAME
Plant operator name","LAT
Plant latitude","LON
Plant longitude","PLGENACL
Plant 2000 annual coal net generation (MWh)","PLGENAOL
Plant 2000 annual oil net generation (MWh)","PLGENAGS
Plant 2000 annual gas net generation (MWh)","PLGENANC
Plant 2000 annual nuclear net generation (MWh)","PLGENAHY
Plant 2000 annual hydro net generation (MWh)","PLGENABM
Plant 2000 annual biomass/ wood net generation (MWh)","PLGENAWI
Plant 2000 annual wind net generation (MWh)","PLGENASO
Plant 2000 annual solar net generation (MWh)","PLGENAGT
Plant 2000 annual geothermal net generation (MWh)","PLGENAOF
Plant 2000 annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)"
AK,AGRIUM KENAI NITROGEN OPERATIONS,Agrium Kenai Nitrogen Operatio,60.0656,151.6719,0.0,0.0,114490.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ALAKANUK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ALLAKAKET,Alaska Power Co,64.8557,146.2789,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ALYESKA SEAFOODS INC,Alyeska Seafoods Inc,51.9961,175.5654,0.0,10717.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,AMBLER,Alaska Village Elec Coop Inc,N/A,N/A,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,AMERICAN PRESIDENT LINES LTD,American President Lines Ltd,51.9961,175.5654,0.0,6154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ANCHORAGE 1,Municipality of Anchorage,61.1095,149.4381,0.0,82.0,10345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ANIAK,Aniak Light & Power Co Inc,60.2992,159.7343,0.0,2543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ANNA PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,0.0,8387.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ANNEX CREEK,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,0.0,0.0,0.0,24722.0,0.0,0.0,0.0,0.0,0.0
AK,ANVIK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,AUKE BAY,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,2163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,AURORA ENERGY LLC,Aurora Energy LLC,64.8557,146.2789,148787.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BAKER PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,0.0,14958.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BARROW,Barrow Utils & Elec Coop Inc,69.7020,153.9798,0.0,0.0,51213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BEAVER FALLS,Ketchikan City of,55.5426,131.4359,0.0,0.0,0.0,0.0,42162.0,0.0,0.0,0.0,0.0,0.0
AK,BELUGA,Chugach Electric Assn Inc,60.0656,151.6719,0.0,0.0,1947226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BERING STAR,Icicle Seafoods  Inc,51.9961,175.5654,0.0,2665.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BERNICE LAKE,Chugach Electric Assn Inc,60.0656,151.6719,0.0,0.0,242912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BETHEL,Bethel Utilities Corp,60.2992,159.7343,0.0,4167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BETTLES LIGHT & PWR,Alaska Power Co,65.2014,151.0227,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BLACK BEAR LAKE,Alaska Power Co,55.5135,132.0062,0.0,0.0,0.0,0.0,21622.0,0.0,0.0,0.0,0.0,0.0
AK,BLUE LAKE,Sitka City of & Borough of,N/A,N/A,0.0,0.0,0.0,0.0,37581.0,0.0,0.0,0.0,0.0,0.0
AK,BLUE LAKE FISH VALVE,Sitka City of & Borough of,N/A,N/A,0.0,0.0,0.0,0.0,5866.0,0.0,0.0,0.0,0.0,0.0
AK,BRADLEY LAKE,Alaska Electric G & T Coop Inc,60.0656,151.6719,0.0,0.0,0.0,0.0,360693.0,0.0,0.0,0.0,0.0,0.0
AK,BREVIG MISSION,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,BRUCE PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,0.0,4450.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CENTENNIAL,Metlakatla Power & Light,55.5426,131.4359,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CENTRAL PRODUCTION FACILITY 1,Phillips Alaska Inc,69.7020,153.9798,0.0,0.0,208045.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CENTRAL PRODUCTION FACILITY 2,Phillips Alaska Inc,69.7020,153.9798,0.0,0.0,97859.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CENTRAL PRODUCTION FACILITY 3,Phillips Alaska Inc,69.7020,153.9798,0.0,0.0,116864.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CHENA,Golden Valley Elec Assn Inc,64.8557,146.2789,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CHESTER LAKE,Metlakatla Power & Light,55.5426,131.4359,0.0,0.0,0.0,0.0,2136.0,0.0,0.0,0.0,0.0,0.0
AK,CHEVAK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,CHISTOCHINA,Alaska Power Co,64.8557,146.2789,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,COFFMAN COVE,Alaska Power Co,55.5135,132.0062,0.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,COOPER LAKE,Chugach Electric Assn Inc,60.0656,151.6719,0.0,0.0,0.0,0.0,14263.0,0.0,0.0,0.0,0.0,0.0
